First_pokemon,Second_pokemon,Winner,#,Num_of_Wins,Total_battles,Win_rate
343,159,159,87,20,131,0.152671756
509,574,574,88,16,116,0.137931034
546,530,546,89,24,143,0.167832168
486,229,229,90,0,0,#DIV/0!
686,213,213,91,52,116,0.448275862
304,386,386,92,87,134,0.649253731
514,732,732,93,121,143,0.846153846
161,757,161,94,29,119,0.243697479
150,265,265,95,68,131,0.519083969
436,701,701,96,25,142,0.176056338
221,265,265,97,50,133,0.37593985
436,603,603,98,21,111,0.189189189
242,365,242,99,71,134,0.529850746
792,251,792,100,61,128,0.4765625
607,295,607,101,77,111,0.693693694
439,209,209,102,88,114,0.771929825
657,360,657,103,113,131,0.86259542
436,40,40,104,65,135,0.481481481
325,408,408,105,30,137,0.218978102
472,89,472,106,61,119,0.512605042
71,777,71,107,38,137,0.277372263
47,615,47,108,67,112,0.598214286
5,670,5,109,66,113,0.584070796
793,314,314,110,109,129,0.84496124
195,461,195,111,32,136,0.235294118
493,568,493,112,37,95,0.389473684
400,341,341,113,29,143,0.202797203
63,297,63,114,34,120,0.283333333
541,446,541,115,82,128,0.640625
141,152,141,116,87,140,0.621428571
54,115,115,117,19,136,0.139705882
378,161,161,118,20,143,0.13986014
224,316,316,119,56,129,0.434108527
311,398,398,120,34,119,0.285714286
298,35,298,121,48,108,0.444444444
356,132,356,122,15,98,0.153061224
103,370,103,123,49,129,0.379844961
503,453,503,124,95,126,0.753968254
600,598,600,125,107,128,0.8359375
445,45,445,126,55,133,0.413533835
360,548,548,127,78,118,0.661016949
303,133,133,128,60,117,0.512820513
51,331,51,129,55,114,0.48245614
171,559,171,130,80,142,0.563380282
758,129,758,131,116,129,0.899224806
6,255,6,132,76,136,0.558823529
698,154,154,133,124,141,0.879432624
92,491,491,134,99,135,0.733333333
381,73,381,135,115,129,0.891472868
354,271,271,136,96,129,0.744186047
219,49,219,137,81,124,0.653225806
736,244,244,138,105,121,0.867768595
683,245,245,139,102,117,0.871794872
533,452,533,140,25,139,0.179856115
200,588,588,141,82,133,0.616541353
403,636,403,142,93,137,0.678832117
56,561,561,143,61,139,0.438848921
54,119,119,144,0,0,#DIV/0!
629,141,629,145,37,99,0.373737374
547,779,547,146,69,132,0.522727273
380,547,547,147,124,134,0.925373134
407,307,307,148,70,132,0.53030303
153,559,153,149,23,128,0.1796875
306,268,306,150,23,128,0.1796875
89,382,89,151,49,138,0.355072464
54,32,32,152,61,142,0.429577465
172,745,745,153,79,110,0.718181818
16,110,110,154,136,141,0.964539007
537,734,537,155,127,129,0.984496124
278,94,278,156,40,112,0.357142857
342,643,643,157,95,139,0.683453237
435,165,165,158,93,121,0.768595041
638,691,691,159,100,136,0.735294118
734,718,718,160,43,117,0.367521368
298,781,298,161,58,116,0.5
42,113,42,162,87,138,0.630434783
97,316,97,163,152,164,0.926829268
416,397,397,164,125,135,0.925925926
483,400,483,165,119,125,0.952
275,155,155,166,94,113,0.831858407
154,461,154,167,33,120,0.275
309,4,4,168,49,113,0.433628319
539,30,30,169,88,129,0.682170543
545,266,545,170,61,121,0.504132231
283,340,340,171,92,151,0.609271523
232,254,254,172,100,116,0.862068966
384,427,427,173,29,132,0.21969697
161,781,161,174,60,136,0.441176471
496,420,496,175,81,138,0.586956522
268,159,159,176,9,125,0.072
473,593,473,177,93,138,0.673913043
550,475,550,178,36,111,0.324324324
199,785,785,179,68,136,0.5
385,732,732,180,28,123,0.227642276
488,196,488,181,86,137,0.627737226
30,587,30,182,13,137,0.094890511
36,494,494,183,0,0,#DIV/0!
513,184,184,184,113,122,0.926229508
129,106,129,185,60,114,0.526315789
6,604,6,186,66,128,0.515625
137,315,137,187,36,105,0.342857143
83,509,509,188,7,112,0.0625
585,534,585,189,5,115,0.043478261
743,57,57,190,3,122,0.024590164
220,723,723,191,30,127,0.236220472
764,665,764,192,64,116,0.551724138
708,439,708,193,88,121,0.727272727
28,545,545,194,23,140,0.164285714
23,796,23,195,24,108,0.222222222
698,147,147,196,41,119,0.344537815
306,635,635,197,37,128,0.2890625
158,666,158,198,30,139,0.215827338
55,750,750,199,19,122,0.155737705
513,439,513,200,44,128,0.34375
769,264,264,201,30,123,0.243902439
232,499,499,202,65,119,0.546218487
23,623,23,203,48,119,0.403361345
97,250,250,204,66,119,0.554621849
324,544,544,205,114,135,0.844444444
517,10,517,206,87,123,0.707317073
586,461,461,207,14,111,0.126126126
779,349,349,208,23,142,0.161971831
669,226,226,209,90,125,0.72
623,53,623,210,6,125,0.048
538,718,718,211,36,140,0.257142857
438,242,438,212,117,142,0.823943662
523,759,523,213,67,127,0.527559055
14,103,103,214,130,158,0.82278481
378,152,152,215,32,132,0.242424242
478,361,478,216,84,133,0.631578947
137,698,137,217,33,127,0.25984252
354,739,739,218,18,134,0.134328358
233,684,684,219,74,128,0.578125
291,605,291,220,16,109,0.146788991
96,264,264,221,37,123,0.300813008
730,137,137,222,26,137,0.189781022
129,744,129,223,93,134,0.694029851
611,107,611,224,25,149,0.167785235
58,560,560,225,50,145,0.344827586
658,146,658,226,21,137,0.153284672
625,753,625,227,35,119,0.294117647
524,27,524,228,104,150,0.693333333
794,474,794,229,76,125,0.608
365,391,391,230,77,140,0.55
592,585,592,231,0,135,0
512,586,512,232,94,136,0.691176471
526,424,424,233,81,130,0.623076923
70,456,70,234,106,113,0.938053097
540,288,540,235,26,109,0.23853211
347,389,347,236,0,0,#DIV/0!
689,128,128,237,4,123,0.032520325
211,701,701,238,9,124,0.072580645
336,385,336,239,37,133,0.278195489
594,80,80,240,36,118,0.305084746
785,490,490,241,28,139,0.201438849
425,308,425,242,69,148,0.466216216
27,731,731,243,37,113,0.327433628
459,399,459,244,74,130,0.569230769
421,494,421,245,78,131,0.595419847
578,768,768,246,70,134,0.52238806
63,82,63,247,58,126,0.46031746
257,221,257,248,111,139,0.798561151
4,150,4,249,128,135,0.948148148
546,333,546,250,88,136,0.647058824
308,544,544,251,39,132,0.295454545
213,442,213,252,48,136,0.352941176
575,302,302,253,53,108,0.490740741
209,645,209,254,90,135,0.666666667
92,768,92,255,52,138,0.376811594
116,672,116,256,17,127,0.133858268
132,69,69,257,72,139,0.517985612
568,396,568,258,46,127,0.362204724
644,218,644,259,116,144,0.805555556
321,163,163,260,81,131,0.618320611
17,164,164,261,103,128,0.8046875
715,190,715,262,40,128,0.3125
51,57,51,263,91,97,0.93814433
237,448,448,264,109,134,0.813432836
580,676,580,265,78,121,0.644628099
789,726,726,266,25,110,0.227272727
420,718,420,267,41,139,0.294964029
83,499,499,268,56,138,0.405797101
526,159,159,269,70,124,0.564516129
115,56,56,270,107,123,0.869918699
358,636,358,271,77,107,0.719626168
54,532,532,272,111,133,0.834586466
534,798,534,273,52,116,0.448275862
768,179,768,274,76,105,0.723809524
94,724,724,275,113,122,0.926229508
795,437,795,276,119,126,0.944444444
313,432,432,277,39,137,0.284671533
305,251,305,278,54,147,0.367346939
269,289,269,279,79,123,0.642276423
593,733,733,280,104,123,0.845528455
568,428,428,281,22,135,0.162962963
290,287,287,282,42,148,0.283783784
762,733,762,283,65,136,0.477941176
217,100,100,284,77,130,0.592307692
668,87,668,285,27,114,0.236842105
165,49,165,286,85,133,0.639097744
123,771,771,287,31,107,0.289719626
261,154,154,288,101,124,0.814516129
225,640,640,289,10,138,0.072463768
313,103,103,290,3,138,0.02173913
106,505,505,291,72,138,0.52173913
453,614,614,292,7,133,0.052631579
107,48,48,293,55,139,0.395683453
722,590,590,294,10,126,0.079365079
559,431,431,295,36,127,0.283464567
141,727,727,296,69,123,0.56097561
490,239,490,297,11,126,0.087301587
490,340,340,298,48,113,0.424778761
373,128,128,299,79,123,0.642276423
3,730,3,300,86,125,0.688
502,91,502,301,110,121,0.909090909
714,104,714,302,56,120,0.466666667
788,276,276,303,59,124,0.475806452
459,16,16,304,23,143,0.160839161
432,143,432,305,36,136,0.264705882
724,2,724,306,84,130,0.646153846
648,533,648,307,97,120,0.808333333
250,357,250,308,47,128,0.3671875
155,439,155,309,63,144,0.4375
447,20,20,310,26,144,0.180555556
366,371,366,311,67,130,0.515384615
337,770,337,312,15,134,0.111940299
358,765,358,313,86,134,0.641791045
198,110,198,314,133,150,0.886666667
152,760,760,315,25,114,0.219298246
164,577,164,316,108,117,0.923076923
174,646,646,317,41,124,0.330645161
438,59,59,318,15,132,0.113636364
614,443,614,319,37,143,0.258741259
789,127,127,320,65,127,0.511811024
504,421,421,321,14,121,0.115702479
565,214,214,322,0,0,#DIV/0!
158,635,635,323,13,135,0.096296296
386,21,21,324,13,140,0.092857143
408,404,404,325,32,136,0.235294118
349,440,349,326,58,116,0.5
410,295,410,327,49,121,0.404958678
83,569,569,328,59,137,0.430656934
249,411,249,329,48,123,0.390243902
173,609,173,330,53,141,0.375886525
770,572,572,331,28,126,0.222222222
51,473,473,332,36,142,0.253521127
452,106,106,333,63,153,0.411764706
550,769,550,334,48,148,0.324324324
525,740,525,335,45,139,0.323741007
464,762,762,336,82,112,0.732142857
147,798,798,337,89,127,0.700787402
572,45,572,338,77,136,0.566176471
569,741,569,339,110,125,0.88
193,28,28,340,123,134,0.917910448
247,445,247,341,92,122,0.754098361
511,280,280,342,81,134,0.604477612
435,44,44,343,76,111,0.684684685
794,359,794,344,104,160,0.65
196,758,758,345,53,116,0.456896552
470,410,410,346,21,110,0.190909091
631,164,164,347,45,121,0.371900826
451,790,451,348,66,129,0.511627907
211,442,442,349,107,132,0.810606061
773,582,773,350,114,120,0.95
403,59,59,351,45,112,0.401785714
401,413,413,352,59,138,0.427536232
228,679,679,353,19,120,0.158333333
753,196,196,354,26,112,0.232142857
578,434,434,355,37,131,0.282442748
210,40,40,356,34,125,0.272
38,716,716,357,36,117,0.307692308
18,458,458,358,59,108,0.546296296
538,742,538,359,48,126,0.380952381
702,627,702,360,41,139,0.294964029
403,412,403,361,70,124,0.564516129
517,136,136,362,105,116,0.905172414
465,89,465,363,22,126,0.174603175
505,502,505,364,66,142,0.464788732
601,644,644,365,36,123,0.292682927
459,84,84,366,82,125,0.656
548,525,525,367,90,137,0.656934307
707,521,521,368,79,118,0.669491525
14,62,62,369,61,143,0.426573427
728,501,728,370,69,130,0.530769231
182,246,246,371,54,108,0.5
741,117,741,372,70,148,0.472972973
29,431,431,373,41,123,0.333333333
719,574,574,374,22,155,0.141935484
209,477,477,375,34,121,0.280991736
492,37,37,376,61,149,0.409395973
425,43,425,377,73,122,0.598360656
207,284,284,378,15,124,0.120967742
749,512,512,379,26,128,0.203125
539,153,153,380,81,150,0.54
152,159,159,381,37,112,0.330357143
738,18,738,382,33,123,0.268292683
182,579,579,383,80,129,0.620155039
69,302,69,384,64,121,0.52892562
173,713,713,385,34,124,0.274193548
488,199,488,386,36,136,0.264705882
683,506,683,387,74,139,0.532374101
2,619,2,388,83,126,0.658730159
735,255,735,389,15,132,0.113636364
70,800,70,390,21,121,0.173553719
120,67,67,391,56,134,0.417910448
738,610,610,392,52,122,0.426229508
68,397,397,393,89,129,0.689922481
540,714,540,394,130,139,0.935251799
184,197,184,395,6,130,0.046153846
577,58,58,396,39,127,0.307086614
750,29,29,397,80,133,0.601503759
391,640,391,398,78,92,0.847826087
211,737,211,399,8,131,0.061068702
462,694,694,400,32,134,0.23880597
337,147,147,401,75,149,0.503355705
459,644,644,402,23,116,0.198275862
615,652,615,403,48,132,0.363636364
786,180,786,404,37,128,0.2890625
247,594,594,405,57,134,0.425373134
536,720,536,406,79,131,0.603053435
729,586,586,407,38,125,0.304
715,80,715,408,43,123,0.349593496
516,740,516,409,113,137,0.824817518
440,525,525,410,125,133,0.939849624
174,410,410,411,20,133,0.15037594
634,424,424,412,42,136,0.308823529
252,797,797,413,57,110,0.518181818
317,294,317,414,113,130,0.869230769
463,790,790,415,50,144,0.347222222
770,7,7,416,33,140,0.235714286
110,783,110,417,35,113,0.309734513
454,469,469,418,116,133,0.872180451
241,731,241,419,0,0,#DIV/0!
688,190,688,420,107,125,0.856
271,21,271,421,97,108,0.898148148
738,789,738,422,92,128,0.71875
476,223,476,423,97,132,0.734848485
574,283,574,424,106,133,0.796992481
621,551,551,425,91,121,0.752066116
723,617,723,426,116,140,0.828571429
1,679,679,427,127,134,0.947761194
595,131,595,428,134,153,0.875816993
433,339,339,429,99,106,0.933962264
247,452,247,430,121,134,0.902985075
19,709,709,431,112,151,0.741721854
410,278,410,432,133,145,0.917241379
103,142,103,433,14,120,0.116666667
37,337,337,434,39,132,0.295454545
453,29,453,435,39,113,0.345132743
73,113,113,436,47,112,0.419642857
374,87,374,437,79,123,0.642276423
634,784,784,438,136,149,0.912751678
681,790,681,439,20,140,0.142857143
181,765,181,440,33,131,0.251908397
584,498,498,441,57,123,0.463414634
586,590,590,442,54,124,0.435483871
732,1,732,443,75,119,0.630252101
478,524,478,444,113,136,0.830882353
734,19,19,445,19,133,0.142857143
634,348,634,446,84,139,0.604316547
567,755,567,447,11,124,0.088709677
354,82,354,448,63,122,0.516393443
417,783,417,449,36,139,0.258992806
420,85,420,450,56,126,0.444444444
610,215,610,451,77,132,0.583333333
350,160,350,452,33,117,0.282051282
122,588,588,453,94,136,0.691176471
159,77,159,454,35,102,0.343137255
398,598,398,455,48,123,0.390243902
300,704,704,456,14,125,0.112
508,293,508,457,24,121,0.198347107
763,685,685,458,18,123,0.146341463
428,203,428,459,21,126,0.166666667
509,199,509,460,22,129,0.170542636
106,592,106,461,36,138,0.260869565
550,394,550,462,65,135,0.481481481
310,48,48,463,55,130,0.423076923
80,314,314,464,34,127,0.267716535
463,203,463,465,103,141,0.730496454
484,9,9,466,68,111,0.612612613
700,49,700,467,112,124,0.903225806
437,533,533,468,16,135,0.118518519
73,485,73,469,71,114,0.622807018
627,314,314,470,18,154,0.116883117
216,657,216,471,22,124,0.177419355
126,617,126,472,102,111,0.918918919
632,707,707,473,71,113,0.628318584
692,331,692,474,80,128,0.625
11,309,309,475,93,135,0.688888889
483,22,483,476,109,121,0.900826446
665,170,170,477,124,129,0.96124031
540,337,540,478,106,125,0.848
39,299,299,479,0,0,#DIV/0!
761,762,762,480,71,117,0.606837607
441,1,441,481,111,119,0.932773109
434,137,137,482,17,123,0.138211382
700,433,700,483,70,125,0.56
52,379,379,484,85,119,0.714285714
158,171,158,485,14,110,0.127272727
769,374,769,486,37,141,0.262411348
789,690,690,487,29,125,0.232
393,255,255,488,37,120,0.308333333
307,741,307,489,8,104,0.076923077
528,492,528,490,111,149,0.744966443
212,24,24,491,29,118,0.245762712
99,173,99,492,35,135,0.259259259
58,253,58,493,82,133,0.616541353
226,289,226,494,97,127,0.763779528
365,609,365,495,85,120,0.708333333
409,532,409,496,81,118,0.686440678
647,294,647,497,49,125,0.392
15,756,756,498,90,120,0.75
196,774,196,499,96,108,0.888888889
265,68,265,500,30,126,0.238095238
564,749,749,501,35,120,0.291666667
750,248,248,502,63,141,0.446808511
142,107,142,503,88,120,0.733333333
427,404,427,504,29,114,0.254385965
454,302,302,505,85,128,0.6640625
323,574,574,506,28,114,0.245614035
262,67,67,507,68,131,0.519083969
710,434,710,508,78,119,0.655462185
291,666,291,509,26,108,0.240740741
233,445,233,510,22,121,0.181818182
126,494,494,511,60,121,0.495867769
252,108,108,512,62,146,0.424657534
69,212,212,513,116,119,0.974789916
120,342,120,514,63,118,0.533898305
224,173,173,515,35,129,0.271317829
695,94,94,516,47,104,0.451923077
672,355,672,517,48,125,0.384
409,254,409,518,94,123,0.764227642
195,607,607,519,79,111,0.711711712
528,327,327,520,73,126,0.579365079
127,81,127,521,91,114,0.798245614
698,336,336,522,125,151,0.82781457
422,705,705,523,64,134,0.47761194
432,397,432,524,109,132,0.825757576
409,376,409,525,68,116,0.586206897
582,424,424,526,103,147,0.700680272
521,268,521,527,86,137,0.627737226
304,708,708,528,112,130,0.861538462
385,492,492,529,26,130,0.2
560,70,560,530,40,136,0.294117647
545,149,149,531,91,138,0.65942029
68,362,362,532,71,120,0.591666667
672,732,732,533,79,113,0.699115044
632,14,632,534,90,116,0.775862069
641,341,341,535,90,128,0.703125
365,428,428,536,88,121,0.727272727
594,425,425,537,98,134,0.731343284
764,529,764,538,92,123,0.74796748
397,161,397,539,79,133,0.593984962
111,670,670,540,122,135,0.903703704
219,738,219,541,119,151,0.78807947
408,647,647,542,115,149,0.771812081
516,107,107,543,85,131,0.648854962
622,736,736,544,122,142,0.85915493
212,128,212,545,74,111,0.666666667
685,648,648,546,89,134,0.664179104
406,420,420,547,79,118,0.669491525
501,689,689,548,74,132,0.560606061
533,211,533,549,118,134,0.880597015
413,580,413,550,110,117,0.94017094
74,277,277,551,117,136,0.860294118
460,713,713,552,111,118,0.940677966
450,8,8,553,114,122,0.93442623
376,196,196,554,115,131,0.877862595
292,510,510,555,51,111,0.459459459
282,186,282,556,0,0,#DIV/0!
384,699,699,557,119,132,0.901515152
295,741,741,558,34,131,0.259541985
346,790,346,559,55,144,0.381944444
269,187,269,560,72,138,0.52173913
45,323,323,561,31,124,0.25
89,778,778,562,48,122,0.393442623
151,238,151,563,65,115,0.565217391
774,667,774,564,25,135,0.185185185
266,301,301,565,69,133,0.518796992
602,375,375,566,29,100,0.29
31,490,490,567,53,138,0.384057971
92,182,92,568,72,116,0.620689655
588,390,588,569,59,114,0.51754386
476,434,476,570,123,135,0.911111111
360,426,426,571,53,130,0.407692308
101,21,21,572,106,131,0.809160305
267,182,267,573,60,130,0.461538462
245,72,72,574,113,127,0.88976378
10,17,17,575,42,117,0.358974359
110,425,425,576,113,133,0.84962406
244,177,177,577,5,128,0.0390625
209,465,465,578,9,132,0.068181818
778,760,778,579,45,154,0.292207792
192,721,192,580,60,124,0.483870968
340,110,110,581,102,130,0.784615385
555,443,443,582,80,135,0.592592593
538,82,538,583,100,107,0.934579439
123,434,123,584,27,144,0.1875
597,627,597,585,44,131,0.335877863
409,56,409,586,60,148,0.405405405
458,301,301,587,72,123,0.585365854
65,644,65,588,103,116,0.887931034
584,319,319,589,70,109,0.642201835
262,210,210,590,103,133,0.77443609
116,492,116,591,46,133,0.345864662
75,480,480,592,48,132,0.363636364
38,302,302,593,28,150,0.186666667
750,656,656,594,25,118,0.211864407
453,174,453,595,39,130,0.3
375,509,375,596,62,136,0.455882353
791,203,791,597,54,124,0.435483871
617,266,617,598,68,119,0.571428571
480,541,541,599,33,147,0.224489796
425,750,425,600,85,136,0.625
325,276,276,601,35,136,0.257352941
385,157,157,602,26,123,0.211382114
331,648,648,603,96,121,0.79338843
566,34,34,604,37,132,0.28030303
86,502,502,605,26,99,0.262626263
214,435,214,606,106,114,0.929824561
551,778,551,607,46,127,0.362204724
300,354,300,608,104,117,0.888888889
438,630,438,609,23,146,0.157534247
209,397,209,610,91,127,0.716535433
582,666,582,611,89,110,0.809090909
52,780,780,612,72,134,0.537313433
492,417,417,613,65,113,0.575221239
519,581,581,614,111,132,0.840909091
11,771,771,615,45,124,0.362903226
725,340,340,616,109,133,0.819548872
286,313,313,617,43,122,0.352459016
79,633,633,618,0,0,#DIV/0!
435,83,435,619,43,132,0.325757576
565,55,55,620,40,119,0.336134454
313,754,313,621,32,109,0.293577982
247,685,247,622,61,121,0.504132231
698,215,698,623,109,152,0.717105263
76,567,567,624,27,126,0.214285714
451,21,451,625,30,122,0.245901639
132,473,132,626,30,129,0.23255814
500,215,500,627,45,140,0.321428571
4,13,4,628,66,118,0.559322034
111,188,111,629,117,128,0.9140625
39,519,519,630,49,117,0.418803419
129,303,129,631,87,145,0.6
306,39,306,632,66,131,0.503816794
752,595,595,633,100,113,0.884955752
699,458,699,634,88,148,0.594594595
708,456,708,635,115,131,0.877862595
102,304,102,636,26,125,0.208
399,239,239,637,37,123,0.300813008
37,13,13,638,65,133,0.488721805
498,282,498,639,4,129,0.031007752
649,489,649,640,9,124,0.072580645
535,189,535,641,18,120,0.15
147,189,147,642,45,124,0.362903226
107,32,32,643,103,119,0.865546218
688,350,350,644,18,110,0.163636364
559,540,540,645,55,126,0.436507937
28,44,44,646,83,125,0.664
277,168,168,647,70,119,0.588235294
285,328,328,648,89,120,0.741666667
650,652,650,649,91,114,0.798245614
638,393,393,650,53,121,0.438016529
365,233,233,651,72,124,0.580645161
215,290,215,652,14,120,0.116666667
576,231,576,653,25,121,0.20661157
335,333,335,654,42,132,0.318181818
79,392,79,655,0,0,#DIV/0!
181,41,181,656,68,132,0.515151515
136,546,136,657,64,138,0.463768116
208,685,685,658,115,137,0.839416058
634,480,480,659,22,111,0.198198198
481,690,481,660,61,136,0.448529412
262,47,47,661,12,113,0.10619469
87,59,59,662,27,121,0.223140496
637,695,695,663,99,131,0.755725191
712,74,712,664,45,126,0.357142857
696,274,274,665,26,128,0.203125
485,101,101,666,34,111,0.306306306
484,661,661,667,21,159,0.132075472
721,631,631,668,21,134,0.156716418
354,257,257,669,16,117,0.136752137
485,605,605,670,57,135,0.422222222
27,798,798,671,68,112,0.607142857
604,131,131,672,51,135,0.377777778
336,532,532,673,59,129,0.457364341
298,179,179,674,105,127,0.826771654
297,394,394,675,31,115,0.269565217
260,358,260,676,48,129,0.372093023
429,475,429,677,119,148,0.804054054
546,416,546,678,11,124,0.088709677
174,224,174,679,118,128,0.921875
65,173,65,680,29,144,0.201388889
793,247,793,681,66,130,0.507692308
530,437,437,682,121,131,0.923664122
154,650,154,683,39,140,0.278571429
627,150,150,684,40,128,0.3125
47,334,334,685,72,126,0.571428571
146,660,660,686,57,109,0.52293578
348,105,348,687,86,141,0.609929078
712,575,712,688,48,119,0.403361345
602,728,728,689,41,122,0.336065574
523,461,523,690,108,156,0.692307692
347,526,526,691,56,122,0.459016393
579,373,579,692,92,147,0.62585034
2,214,214,693,57,121,0.47107438
10,596,596,694,118,134,0.880597015
531,762,531,695,34,124,0.274193548
430,516,430,696,57,138,0.413043478
305,400,305,697,106,129,0.821705426
158,258,158,698,58,137,0.423357664
528,38,528,699,103,137,0.751824818
54,600,600,700,117,128,0.9140625
424,728,424,701,105,123,0.853658537
232,333,232,702,112,125,0.896
162,114,162,703,94,111,0.846846847
59,118,59,704,121,125,0.968
632,742,742,705,108,125,0.864
488,708,708,706,99,115,0.860869565
180,690,690,707,91,125,0.728
129,423,423,708,100,154,0.649350649
162,439,162,709,89,102,0.87254902
592,267,267,710,112,131,0.854961832
727,219,727,711,99,128,0.7734375
707,764,707,712,77,100,0.77
537,525,537,713,100,128,0.78125
798,672,672,714,100,116,0.862068966
6,47,6,715,108,121,0.892561983
421,225,421,716,98,142,0.690140845
703,732,732,717,118,123,0.959349593
743,248,248,718,105,128,0.8203125
773,454,773,719,26,148,0.175675676
286,680,286,720,48,119,0.403361345
541,302,541,721,57,124,0.459677419
210,686,686,722,41,121,0.338842975
503,62,503,723,67,115,0.582608696
423,734,423,724,104,126,0.825396825
280,524,280,725,71,125,0.568
116,681,116,726,107,139,0.769784173
365,680,680,727,122,127,0.960629921
330,664,664,728,44,113,0.389380531
462,463,463,729,68,128,0.53125
242,325,242,730,55,136,0.404411765
131,340,340,731,92,127,0.724409449
713,794,794,732,120,132,0.909090909
234,667,234,733,11,134,0.082089552
270,772,772,734,10,133,0.07518797
200,393,393,735,80,120,0.666666667
181,351,181,736,55,124,0.443548387
546,350,350,737,98,121,0.809917355
665,39,39,738,34,151,0.225165563
475,402,475,739,48,121,0.396694215
383,722,383,740,76,121,0.628099174
401,580,580,741,46,127,0.362204724
123,609,123,742,62,129,0.480620155
502,123,502,743,26,118,0.220338983
98,537,537,744,46,123,0.37398374
565,716,716,745,113,131,0.86259542
512,100,512,746,58,112,0.517857143
240,93,93,747,91,115,0.791304348
646,468,646,748,93,127,0.732283465
89,470,89,749,35,112,0.3125
438,284,438,750,44,132,0.333333333
125,31,125,751,64,128,0.5
570,222,570,752,63,121,0.520661157
350,512,512,753,8,133,0.060150376
643,42,643,754,25,129,0.19379845
560,316,316,755,41,121,0.338842975
715,343,715,756,81,131,0.618320611
126,622,126,757,34,110,0.309090909
278,184,184,758,108,158,0.683544304
604,130,130,759,37,129,0.286821705
558,573,573,760,69,134,0.514925373
411,220,411,761,14,124,0.112903226
132,181,132,762,31,156,0.198717949
592,748,748,763,17,124,0.137096774
709,260,709,764,64,147,0.43537415
515,598,598,765,59,112,0.526785714
576,530,576,766,94,120,0.783333333
512,205,512,767,34,107,0.317757009
268,458,268,768,82,152,0.539473684
633,113,633,769,28,121,0.231404959
368,101,101,770,61,132,0.462121212
371,61,61,771,49,122,0.401639344
248,339,339,772,107,121,0.884297521
256,30,30,773,109,124,0.879032258
691,593,691,774,36,140,0.257142857
118,349,349,775,25,117,0.213675214
216,30,216,776,59,130,0.453846154
540,545,540,777,64,106,0.603773585
664,13,13,778,70,122,0.573770492
